matricula,Nome,local de trabalho,Data de Ingresso,Curso,Área de Conhecimento,Data de Conclusão,Instituição
237864,Cauã Caldeira,8593,2017-09-26,Bioquímica,Ciências Biológicas,2013-10-22,FLF - Faculdade Luciano Feijão
237865,Enrico Costa,8593,2016-12-13,Teologia,Ciências Humanas,2011-12-09,Univel - União Educacional de Cascavel
237866,Beatriz Ribeiro,8593,2019-08-03,Agronomia,Ciências Agrárias,2016-02-19,FAP - Faculdade Arquidiocesana de Pirapora
237867,Maria Alice Barros,8593,2022-04-16,Recursos Pesqueiros e Engenharia de Pesca,Ciências Agrárias,2014-09-30,UNIMES - Universidade Metropolitana de Santos
237868,Luiz Miguel Farias,8593,2015-04-18,Agronomia,Ciências Agrárias,2012-10-02,UNILESTE - Centro Universitário Católica do Leste de Minas Gerais
237869,Augusto Pereira,8593,2023-12-27,Direito,Ciências Sociais Aplicadas,2012-11-24,UNILAGO - União das Faculdades dos Grandes Lagos
237870,Emanuelly Carvalho,8593,2015-09-17,Engenharia Agrícola,Ciências Agrárias,2010-02-20,FANESE - Faculdade de Administração e Negócios de Sergipe
237871,Vicente da Mata,8593,2017-07-04,Ciência da Informação,Ciências Sociais Aplicadas,2016-01-04,UEAP - Universidade Estadual do Amapá
237872,Vicente Dias,8593,2020-02-08,Enfermagem,Ciências da Saúde,2015-01-19,Católica SC - Centro Universitário Católica de Santa Catarina
237873,João Lucas Freitas,8593,2018-08-24,Desenho Industrial,Ciências Sociais Aplicadas,2018-05-24,Fametro - Faculdade Metropolitana de Manaus
237874,Noah da Cruz,8593,2015-06-04,Engenharia Agrícola,Ciências Agrárias,2012-09-28,UNIRIO - Universidade Federal do Estado do Rio de Janeiro
237875,Laís Alves,8593,2023-06-18,Direito,Ciências Sociais Aplicadas,2010-09-25,MACK - Universidade Presbiteriana Mackenzie
237876,João Vitor Mendes,8593,2018-11-21,Engenharia de Materiais e Metalúrgica,Engenharias,2016-09-22,UFSCar - Universidade Federal de São Carlos
237877,Elisa Silva,8593,2022-09-01,Engenharia Nuclear,Engenharias,2011-12-16,AEDB - Faculdades Dom Bosco
237878,Heitor Jesus,8593,2023-02-09,Microbiologia,Ciências Biológicas,2014-02-27,FAJANSSEN - Faculdade Arnaldo Jessen
237879,Maria Eduarda Cardoso,8593,2019-08-02,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2012-10-01,Fatern Gama Filho - Faculdade de Excelência do Rio Grande do Norte
237880,Júlia Melo,8593,2020-01-21,Fonoaudiologia,Ciências da Saúde,2018-07-24,UNINGÁ - Faculdade Ingá
237881,Davi Lucas da Mota,8593,2018-07-05,Direito,Ciências Sociais Aplicadas,2015-04-22,SJT - Faculdades Integradas São Judas Tadeu
237882,Marcela Almeida,8593,2019-08-19,Arqueologia,Ciências Humanas,2012-07-22,FGV - Fundação Getulio Vargas
237883,Eduarda Freitas,8593,2023-08-09,Farmacologia,Ciências Biológicas,2020-03-05,UEPB - Universidade Estadual da Paraíba
237884,Kevin Viana,8593,2017-11-25,Matemática,Ciências Exatas e da Terra,2015-08-20,UCPEL - Universidade Católica de Pelotas
237885,Sra. Daniela Rezende,8593,2024-02-27,Física,Ciências Exatas e da Terra,2013-11-19,FMU - Centro Universitário das Faculdades Metropolitanas Unidas
237886,Renan Dias,8593,2015-03-23,Administração,Ciências Sociais Aplicadas,2015-01-07,IFRS - Instituto Federal do Rio Grande do Sul
237887,Dr. Nathan Rodrigues,8593,2014-11-09,Turismo,Ciências Sociais Aplicadas,2010-09-06,UERN - Universidade do Estado do Rio Grande do Norte
237888,Breno Ferreira,8593,2023-08-13,Genética,Ciências Biológicas,2021-02-11,UNIFOR - Universidade de Fortaleza
237889,Brenda Lopes,8593,2022-06-03,Física,Ciências Exatas e da Terra,2010-11-11,UFMG - Universidade Federal de Minas Gerais
237890,Sr. Gustavo Porto,8593,2020-02-11,Turismo,Ciências Sociais Aplicadas,2013-07-25,USU - Universidade Santa Úrsula
237891,Larissa Carvalho,8593,2023-11-06,Teologia,Ciências Humanas,2016-01-22,FPD - Faculdade Pio Décimo
237892,Joana Lima,8593,2014-09-02,Odontologia,Ciências da Saúde,2012-04-02,UFCA - Universidade Federal do Cariri
237893,Davi Souza,8593,2018-04-03,Engenharia de Minas,Engenharias,2017-12-31,UFMA - Universidade Federal do Maranhão
237894,Bruna da Conceição,8593,2022-03-08,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2020-12-31,FADIPA - Faculdade de Direito de Ipatinga
237895,Paulo da Cruz,8593,2021-02-04,Agronomia,Ciências Agrárias,2011-03-08,UFCG - Universidade Federal de Campina Grande
237896,Leandro Rocha,8593,2018-08-20,Astronomia,Ciências Exatas e da Terra,2015-04-02,UFRRJ - Universidade Federal Rural do Rio de Janeiro
237897,Julia da Costa,8593,2022-08-10,Bioquímica,Ciências Biológicas,2009-12-13,UAM - Universidade Anhembi Morumbi
237898,Srta. Maria Cecília Silva,8593,2014-12-08,Filosofia,Ciências Humanas,2010-06-18,UNIMAR - Universidade de Marília
237899,Felipe Cunha,8593,2024-06-27,Engenharia Nuclear,Engenharias,2023-10-18,FEEVALE - Universidade Feevale
237900,Joana Gomes,8593,2023-03-23,Agronomia,Ciências Agrárias,2016-04-25,UFR - Universidade Federal de Rondonópolis
237901,Esther Viana,8593,2024-04-04,Engenharia Sanitária,Engenharias,2012-10-29,MACK - Universidade Presbiteriana Mackenzie
237902,Sr. André Vieira,8593,2021-11-05,Engenharia Sanitária,Engenharias,2011-09-07,UNIBH - Centro Universitário de Belo Horizonte
237903,Sr. Calebe Nascimento,8593,2018-05-15,Letras,"Lingüística, Letras e Artes",2011-02-09,UCPEL - Universidade Católica de Pelotas
237904,Ana Lívia Freitas,8593,2016-03-28,Demografia,Ciências Sociais Aplicadas,2009-12-22,FA7 - Faculdade 7 de Setembro
237905,Sr. Danilo Silveira,8593,2019-06-06,GeoCiências,Ciências Exatas e da Terra,2012-12-24,UNIFACISA - Centro Universitário Facisa
237906,Raquel Costela,8593,2018-02-11,Fonoaudiologia,Ciências da Saúde,2011-04-11,UNIFAA - Centro de Ensino Superior de Valença
237907,João Vitor Melo,8593,2021-05-02,Engenharia Sanitária,Engenharias,2016-05-30,UNIVERSO - Universidade Salgado de Oliveira
237908,Eloah Jesus,8593,2018-03-07,Química,Ciências Exatas e da Terra,2014-05-24,FCF - Faculdade Católica de Fortaleza
237909,Dr. Francisco Novaes,8593,2016-08-11,Engenharia Mecânica,Engenharias,2014-11-04,UNIRITTER - Centro Universitário Ritter dos Reis
237910,Marcos Vinicius da Paz,8593,2017-04-07,Bioquímica,Ciências Biológicas,2014-10-28,FG - Faculdade Guarapuava
237911,Leonardo da Cunha,8593,2022-12-20,GeoCiências,Ciências Exatas e da Terra,2016-12-31,USP - Universidade de São Paulo
237912,Lucca Ribeiro,8593,2021-07-16,Microbiologia,Ciências Biológicas,2013-10-11,IFPR - Instituto Federal do Paraná
237913,Srta. Ana Carolina Almeida,8593,2017-07-12,História,Ciências Humanas,2016-08-02,UNICHRISTUS - Centro Universitário Christus
237914,Isis Rezende,8593,2021-08-29,Nutrição,Ciências da Saúde,2012-04-26,UERR - Universidade Estadual de Roraima
237915,Ana Laura da Rocha,8593,2024-05-23,Educação Física,Ciências da Saúde,2019-07-15,UNIBAN - Universidade Bandeirante de São Paulo
237916,Mariana Nascimento,8593,2021-06-07,Química,Ciências Exatas e da Terra,2014-05-24,UFV - Universidade Federal de Viçosa
237917,Gabriela Carvalho,8593,2021-01-23,Engenharia Agrícola,Ciências Agrárias,2016-07-16,ENAP - Escola Nacional de Administração Pública
237918,Sofia Dias,8593,2022-08-04,Nutrição,Ciências da Saúde,2018-07-04,UFOPA - Universidade Federal do Oeste do Pará
237919,Alice Barros,8593,2019-09-14,Engenharia Elétrica,Engenharias,2011-05-08,UEM - Universidade Estadual de Maringá
237920,Dra. Laura Lima,8593,2018-05-31,Ciência e Tecnologia de Alimentos,Ciências Agrárias,2016-09-19,Católica SC - Centro Universitário Católica de Santa Catarina
237921,Guilherme Silveira,8593,2022-06-15,Antropologia,Ciências Humanas,2012-04-29,IFS - Instituto Federal de Sergipe
237922,Antônio Sales,8593,2019-08-06,Biofísica,Ciências Biológicas,2012-02-18,UEMG - Universidade do Estado de Minas Gerais
237923,Gustavo Henrique Rodrigues,8593,2015-12-10,Serviço Social,Ciências Sociais Aplicadas,2012-01-31,UNIVALI - Universidade do Vale do Itajaí
237924,Stephany Nunes,8593,2015-08-18,Serviço Social,Ciências Sociais Aplicadas,2013-04-22,UERR - Universidade Estadual de Roraima
237925,Juliana Gomes,8593,2020-12-27,Artes,"Lingüística, Letras e Artes",2019-04-23,UCDB - Universidade Católica Dom Bosco
237926,Dr. André Fernandes,8593,2022-08-26,Educação Física,Ciências da Saúde,2021-01-25,FA7 - Faculdade 7 de Setembro
237927,Eduardo Peixoto,8593,2021-09-11,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2016-04-08,FDV - Faculdades Integradas de Vitória
237928,Gabrielly Silveira,8593,2020-01-30,Farmacologia,Ciências Biológicas,2014-11-23,FJP - Fundação João Pinheiro
237929,Eloah Oliveira,8593,2020-05-19,Sociologia,Ciências Humanas,2019-08-13,Univel - União Educacional de Cascavel
237930,Manuela Pires,8593,2015-08-30,Enfermagem,Ciências da Saúde,2013-11-25,FAF - Faculdade de Frutal
237931,Isadora Peixoto,8593,2016-11-25,Botânica,Ciências Biológicas,2010-10-19,FANESE - Faculdade de Administração e Negócios de Sergipe
237932,Milena Cardoso,8593,2018-08-01,Engenharia Agrícola,Ciências Agrárias,2013-07-15,FMC - Faculdades Milton Campos
237933,Valentina Farias,8593,2017-06-01,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2010-12-06,UNITAU - Universidade de Taubaté
237934,Theo Alves,8593,2019-02-13,Parasitologia,Ciências Biológicas,2014-06-26,UMC - Universidade de Mogi das Cruzes
237935,Sr. Bernardo Teixeira,8593,2023-06-07,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2021-04-10,UNIGRANRIO - Universidade do Grande Rio
237936,Elisa Fernandes,8593,2017-09-17,Farmácia,Ciências da Saúde,2010-07-20,FFB - Faculdade Farias Brito
237937,Sra. Brenda Pereira,8593,2017-12-14,Engenharia Química,Engenharias,2011-12-31,UFOP - Universidade Federal de Ouro Preto
237938,Heitor da Rocha,8593,2020-04-15,Turismo,Ciências Sociais Aplicadas,2019-06-30,UNIAVAN - Centro Universitário Avantis
237939,Lucca Silva,8593,2014-12-09,Matemática,Ciências Exatas e da Terra,2014-05-14,EN - Escola Naval
237940,Natália Nunes,8593,2016-12-20,Fisiologia,Ciências Biológicas,2014-12-13,UNINCOR-Universidade Vale do Rio Verde
237941,Yasmin Alves,8593,2015-12-10,Engenharia de Minas,Engenharias,2010-02-02,UCDB - Universidade Católica Dom Bosco
237942,Luiz Gustavo Moraes,8593,2014-11-04,Oceanografia,Ciências Exatas e da Terra,2014-08-11,UNIRITTER - Centro Universitário Ritter dos Reis
237943,Ana Julia Porto,8593,2023-12-23,Engenharia Química,Engenharias,2015-04-17,UNIMES - Universidade Metropolitana de Santos
237944,Lorenzo Teixeira,8593,2020-05-27,Medicina Veterinária,Ciências Agrárias,2013-09-15,CESMAC - Centro de Estudos Superiores de Maceió
237945,Heloísa da Paz,8593,2017-12-12,Enfermagem,Ciências da Saúde,2013-04-27,UEG - Universidade Estadual de Goiás
237946,Emanuelly Martins,8593,2017-02-11,Direito,Ciências Sociais Aplicadas,2012-10-04,UNINCOR-Universidade Vale do Rio Verde
237947,Letícia Melo,8595,2017-02-23,Psicologia,Ciências Humanas,2011-09-14,FJP - Fundação João Pinheiro
237948,Ana Laura Rezende,8595,2015-11-20,Engenharia Biomédica,Engenharias,2015-05-03,FAVAP - Faculdades Vale do Piancó
237949,Beatriz Monteiro,8595,2020-07-02,Turismo,Ciências Sociais Aplicadas,2016-10-08,UFC - Universidade Federal do Ceará
237950,Joana da Rosa,8595,2020-07-01,Biofísica,Ciências Biológicas,2018-11-28,FADERGS - Faculdade de Desenvolvimento do Rio Grande do Sul
237951,Nicole Melo,8595,2021-09-02,Engenharia Sanitária,Engenharias,2018-03-25,CUSC - Centro Universitário São Camilo
237952,Danilo Barbosa,8595,2018-12-01,Farmacologia,Ciências Biológicas,2011-04-14,CIABA - Centro de Instrução Almirante Braz de Aguiar
237953,Vitor Castro,8595,2020-06-29,Geografia,Ciências Humanas,2010-04-02,UFRJ - Universidade Federal do Rio de Janeiro
237954,Luiz Gustavo Nogueira,8595,2015-11-28,Bioquímica,Ciências Biológicas,2009-09-27,UNIFOA - Centro Universitário de Volta Redonda
237955,Sra. Nina Pires,8595,2023-11-06,Parasitologia,Ciências Biológicas,2017-07-11,IFPR - Instituto Federal do Paraná
237956,Camila Jesus,8595,2023-03-27,Medicina Veterinária,Ciências Agrárias,2017-07-14,UNISAL - Centro Universitário Salesiano de São Paulo
237957,Maria Cecília da Cunha,8595,2024-03-01,Imunologia,Ciências Biológicas,2023-02-20,UNIVEM - Centro Universitário Eurípedes de Marília
237958,Levi Correia,8595,2019-11-11,Engenharia de Transportes,Engenharias,2016-08-14,FADERGS - Faculdade de Desenvolvimento do Rio Grande do Sul
237959,Isis Rodrigues,8595,2021-01-22,Psicologia,Ciências Humanas,2020-11-03,UEMS - Universidade Estadual do Mato Grosso do Sul
237960,Yasmin Cunha,8595,2019-05-09,Engenharia de Materiais e Metalúrgica,Engenharias,2016-10-28,CEAP - Centro de Ensino Superior do Amapá
237961,Anthony Mendes,8595,2022-07-14,Biofísica,Ciências Biológicas,2018-04-07,UFS - Universidade Federal de Sergipe
237962,Milena das Neves,8595,2024-02-06,Geografia,Ciências Humanas,2018-01-06,UNICEP - Centro Universitário Central Paulista
237963,Emanuella Campos,8595,2022-01-05,Matemática,Ciências Exatas e da Terra,2010-02-01,UNIEURO - Centro Universitário Euroamericano
237964,Pietra Peixoto,8595,2021-10-14,Artes,"Lingüística, Letras e Artes",2021-08-09,PUC-Campinas - Pontifícia Universidade Católica de Campinas
237965,Sra. Brenda Castro,8595,2018-01-15,Física,Ciências Exatas e da Terra,2012-10-01,UNICURITIBA - Centro Universitário Curitiba
237966,Fernanda Carvalho,8595,2017-11-12,Oceanografia,Ciências Exatas e da Terra,2011-02-01,FADERGS - Faculdade de Desenvolvimento do Rio Grande do Sul
237967,Sr. Levi Lima,8595,2016-11-23,Ecologia,Ciências Biológicas,2013-07-15,UNIVILLE - Universidade da Região de Joinville
237968,Nicole Ferreira,8595,2024-04-10,Economia,Ciências Sociais Aplicadas,2013-01-31,UNIASSELVI - Centro Universitário Leonardo da Vinci
237969,Maria Pereira,8595,2019-07-16,Matemática,Ciências Exatas e da Terra,2012-06-29,FAPRO - Faculdade Projeção
237970,Paulo Cardoso,8595,2024-03-02,Engenharia Biomédica,Engenharias,2017-12-05,UFPEL - Universidade Federal de Pelotas
237971,Dr. Kaique da Cruz,8595,2018-01-12,Planejamento Urbano e Regional,Ciências Sociais Aplicadas,2014-09-19,UNESP - Universidade Estadual Paulista
237972,Nathan Nogueira,8595,2015-11-02,Enfermagem,Ciências da Saúde,2013-06-30,UNIARP - Universidade Alto Vale do Rio do Peixe
237973,Maria Alice Barbosa,8595,2016-12-03,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2012-03-02,UNEAL - Universidade Estadual de Alagoas
237974,Bruna Pinto,8595,2018-02-04,Astronomia,Ciências Exatas e da Terra,2015-01-07,UFAL - Universidade Federal de Alagoas
237975,Emanuelly Peixoto,8595,2014-12-02,Farmácia,Ciências da Saúde,2014-05-03,ICESPI - Instituto Católico de Estudos de Ensino Superior do Piauí
237976,Yuri Moura,8595,2023-01-07,Sociologia,Ciências Humanas,2010-03-09,CELSO LISBOA - Centro Universitário Celso Lisboa
237977,Levi Almeida,8595,2020-02-18,Zootecnia,Ciências Agrárias,2015-03-09,IFS - Instituto Federal de Sergipe
237978,Renan da Luz,8595,2017-05-28,Ciência da Informação,Ciências Sociais Aplicadas,2017-05-12,UNISO - Universidade de Sorocaba
237979,Samuel Souza,8595,2022-08-11,Geografia,Ciências Humanas,2018-05-07,FGV - Fundação Getulio Vargas
237980,Diogo Viana,8595,2016-03-14,Fonoaudiologia,Ciências da Saúde,2014-12-01,UEZO - Universidade Estadual da Zona Oeste
237981,Sr. Gustavo Silveira,8595,2022-06-14,Probabilidade e Estatística,Ciências Exatas e da Terra,2018-03-21,EN - Escola Naval
237982,Luna da Cunha,8595,2016-10-25,Arqueologia,Ciências Humanas,2010-09-25,USJT - Universidade São Judas Tadeu
237983,Dra. Raquel Moura,8595,2017-07-15,Engenharia Mecânica,Engenharias,2014-01-11,UNISANT'ANNA - Universidade Sant'Anna
237984,Pedro Henrique Fogaça,8595,2019-08-30,Fonoaudiologia,Ciências da Saúde,2016-10-23,UNA - Centro Universitário UNA
237985,Ryan Ferreira,8595,2024-06-15,Matemática,Ciências Exatas e da Terra,2017-06-08,UNIPAR - Universidade Paranaense
237986,Emanuelly Carvalho,8595,2022-08-05,Antropologia,Ciências Humanas,2016-12-28,PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul
237987,Joaquim Barbosa,8595,2020-02-20,Medicina,Ciências da Saúde,2014-07-08,FAPAN - Faculdade Pan Amazônica
237988,Caio Silva,8595,2016-06-17,Probabilidade e Estatística,Ciências Exatas e da Terra,2010-01-28,CEUB - Centro Universitário de Brasília
237989,Emanuelly Teixeira,8595,2023-06-10,Enfermagem,Ciências da Saúde,2019-02-05,UCP - Universidade Católica de Petrópolis
237990,Bernardo Gonçalves,8595,2024-02-20,Engenharia Mecânica,Engenharias,2019-11-14,ULBRA - Universidade Luterana do Brasil
237991,Renan Novaes,8595,2021-11-01,Engenharia de Minas,Engenharias,2014-11-09,UFS - Universidade Federal de Sergipe
237992,Matheus Azevedo,8595,2018-02-10,Letras,"Lingüística, Letras e Artes",2011-12-15,IFPA - Instituto Federal do Pará
237993,Alice Araújo,8595,2023-07-01,Ciência e Tecnologia de Alimentos,Ciências Agrárias,2020-02-24,IFES - Instituto Federal do Espírito Santo
237994,Rafaela Alves,8595,2021-11-03,Zoologia,Ciências Biológicas,2012-09-02,UNOESC - Universidade do Oeste de Santa Catarina
237995,Lara Silva,8595,2019-07-14,Economia Doméstica,Ciências Sociais Aplicadas,2010-05-13,ISERJ - Instituto Superior de Educação do Rio de Janeiro
237996,Gustavo da Mota,8595,2020-12-10,Economia,Ciências Sociais Aplicadas,2012-03-15,UNESP - Universidade Estadual Paulista
237997,João Miguel Jesus,8595,2018-10-06,Economia,Ciências Sociais Aplicadas,2012-08-05,ICESP - Universidade Brasil
237998,Vitor Gabriel das Neves,8595,2017-11-30,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2010-02-16,UNEMAT - Universidade do Estado de Mato Grosso
237999,Carlos Eduardo Cardoso,8595,2023-05-19,Engenharia de Produção,Engenharias,2015-05-08,FACCAT - Faculdades de Taquara
238000,Sabrina Freitas,8595,2020-05-17,Nutrição,Ciências da Saúde,2016-10-07,UNISUL - Universidade do Sul de Santa Catarina
238001,Diogo das Neves,8595,2019-04-04,Fonoaudiologia,Ciências da Saúde,2019-02-22,CESMAC - Centro de Estudos Superiores de Maceió
238002,Srta. Ana Lívia Fernandes,8595,2023-05-01,Fisiologia,Ciências Biológicas,2013-09-01,UNINCOR-Universidade Vale do Rio Verde
238003,João Pedro Moura,8595,2020-08-05,Administração,Ciências Sociais Aplicadas,2020-05-15,UFPI - Universidade Federal do Piauí
238004,Sr. Davi Luiz da Luz,8595,2018-06-30,Agronomia,Ciências Agrárias,2013-08-20,UNIVALE - Universidade Vale do Rio Doce
238005,Ana Júlia Silva,8595,2020-10-05,Demografia,Ciências Sociais Aplicadas,2010-08-03,FACAR - Faculdade de Aracaju
238006,Emanuella Porto,8595,2022-04-28,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2019-01-15,FAC - Faculdade Arquidiocesana de Curvelo
238007,Eduardo da Conceição,8595,2024-07-19,Farmácia,Ciências da Saúde,2015-11-30,"IPE - Instituto Parecis de Ensino, Desenvolvimento e Pesquisa"
238008,Cauã da Cruz,8595,2022-03-17,Direito,Ciências Sociais Aplicadas,2013-02-05,UNIR - Universidade Federal de Rondônia
238009,Maria Vitória Mendes,8595,2023-11-14,Artes,"Lingüística, Letras e Artes",2014-08-16,IFRR - Instituto Federal de Roraima
238010,Ana Beatriz Peixoto,8595,2019-07-25,Demografia,Ciências Sociais Aplicadas,2017-12-28,UNISUL - Universidade do Sul de Santa Catarina
238011,Nathan Castro,8595,2015-10-21,Engenharia Agrícola,Ciências Agrárias,2011-03-28,UNEC - Centro Universitário de Caratinga
238012,Olivia da Paz,8595,2022-10-13,Geografia,Ciências Humanas,2010-08-26,UFRJ - Universidade Federal do Rio de Janeiro
238013,Sra. Marina Gonçalves,8595,2020-09-07,Desenho Industrial,Ciências Sociais Aplicadas,2020-03-28,FJP - Fundação João Pinheiro
238014,Bárbara Caldeira,8595,2021-07-20,Educação Física,Ciências da Saúde,2010-06-01,PUC-Campinas - Pontifícia Universidade Católica de Campinas
238015,Olivia Silveira,8595,2020-03-01,Ciência Política,Ciências Humanas,2014-04-29,FFB - Faculdade Farias Brito
238016,Sofia Aragão,8595,2014-10-10,Agronomia,Ciências Agrárias,2013-08-21,UNICASTELO - Universidade Camilo Castelo Branco
238017,Sra. Clarice da Luz,8595,2017-06-07,Desenho Industrial,Ciências Sociais Aplicadas,2011-08-11,UCDB - Universidade Católica Dom Bosco
238018,Davi Lucca Ribeiro,8595,2024-04-28,Economia Doméstica,Ciências Sociais Aplicadas,2020-05-09,PUCMG - Pontifícia Universidade Católica de Minas Gerais
238019,Catarina da Costa,8595,2015-07-19,Engenharia Aeroespacial,Engenharias,2009-08-13,FACHA - Faculdades Integradas Hélio Alonso
238020,Lavínia da Costa,8595,2024-02-23,Artes,"Lingüística, Letras e Artes",2019-12-01,MACKENZIE-RIO - Faculdade Presbiteriana Mackenzie Rio
238021,Lorenzo Alves,8595,2023-02-12,Parasitologia,Ciências Biológicas,2011-08-29,FASER - Faculdade Sergipana
238022,Yuri Moura,8595,2021-12-03,Economia,Ciências Sociais Aplicadas,2017-05-20,FGV - Fundação Getulio Vargas
238023,Thales Ribeiro,8595,2020-09-14,Saúde Coletiva,Ciências da Saúde,2017-08-03,ISERJ - Instituto Superior de Educação do Rio de Janeiro
238024,Dra. Valentina da Mata,8595,2019-06-05,Engenharia Civil,Engenharias,2012-04-28,UNIOESTE - Universidade Estadual do Oeste do Paraná
238025,Marcela da Paz,8595,2017-04-25,Odontologia,Ciências da Saúde,2014-06-11,UNISC - Universidade de Santa Cruz do Sul
238026,Yuri da Cunha,8595,2015-08-21,Zoologia,Ciências Biológicas,2009-11-08,FAC - Faculdade Arquidiocesana de Curvelo
238027,Luigi Fogaça,8595,2019-06-03,Ciência da Computação,Ciências Exatas e da Terra,2018-10-14,UNIBRASIL - Centro Universitário Autônomo do Brasil
238028,Kamilly da Luz,8595,2018-02-26,Desenho Industrial,Ciências Sociais Aplicadas,2014-02-01,UFR - Universidade Federal de Rondonópolis
238029,Carolina Melo,8595,2022-11-28,Geografia,Ciências Humanas,2014-09-10,UNESPAR - Universidade Estadual do Paraná
238030,Stella Costela,8595,2022-08-03,Sociologia,Ciências Humanas,2017-04-21,UNOPAR - Universidade Norte do Paraná
238031,Enzo Lima,8595,2014-12-08,Agronomia,Ciências Agrárias,2012-06-12,UCPEL - Universidade Católica de Pelotas
238032,Vitor Hugo Cardoso,8595,2015-05-30,Geografia,Ciências Humanas,2009-10-16,IFAL - Instituto Federal de Alagoas
238033,Thomas Freitas,8595,2023-07-10,Engenharia Biomédica,Engenharias,2020-07-23,UNIVERSO - Universidade Salgado de Oliveira
238034,Maria Julia Souza,8595,2018-06-29,Nutrição,Ciências da Saúde,2015-04-09,UNIFESSPA - Universidade Federal do Sul e Sudeste do Pará
238035,Mariana Nascimento,8595,2015-07-10,Engenharia Nuclear,Engenharias,2010-12-16,FAMA - Faculdade da Amazônia
238036,Vitória Pereira,8595,2015-03-26,Engenharia Nuclear,Engenharias,2011-04-25,UNESP - Universidade Estadual Paulista
238037,Olivia Barros,8595,2024-06-18,Zootecnia,Ciências Agrárias,2019-06-08,IFRO - Instituto Federal de Rondônia
238038,Cauê Rocha,8595,2019-03-12,Economia,Ciências Sociais Aplicadas,2011-11-23,FFB - Faculdade Farias Brito
238039,Dr. Emanuel Ramos,8595,2019-02-14,Planejamento Urbano e Regional,Ciências Sociais Aplicadas,2012-02-17,UIT - Universidade de Itaúna
238040,Davi Lucas Araújo,8595,2017-12-03,Engenharia de Produção,Engenharias,2013-07-20,UNIFEV - Centro Universitário de Votuporanga
238041,Dr. Pedro Miguel Campos,8595,2020-07-19,Engenharia de Produção,Engenharias,2013-12-16,UFABC - Universidade Federal do ABC
238042,Ana Laura Moura,8595,2023-01-07,Economia,Ciências Sociais Aplicadas,2015-01-19,IESB - Instituto de Educação Superior de Brasília
238043,Danilo Mendes,8595,2023-08-07,História,Ciências Humanas,2009-12-23,UNIVATES - Universidade do Vale do Taquari
238044,Luiza Sales,8595,2024-04-09,Recursos Pesqueiros e Engenharia de Pesca,Ciências Agrárias,2017-06-08,PUC-SP - Pontifícia Universidade Católica de São Paulo
238045,Luiza Caldeira,8595,2024-04-03,Lingüística,"Lingüística, Letras e Artes",2019-03-30,UFRJ - Universidade Federal do Rio de Janeiro
238046,Lucca Nunes,8595,2018-11-06,Engenharia Agrícola,Ciências Agrárias,2011-08-16,UNOPAR - Universidade Norte do Paraná (Polo Natal)
238047,Srta. Pietra Freitas,8595,2014-08-22,Biologia Geral,Ciências Biológicas,2012-03-31,FAZP - Faculdade Zumbi dos Palmares
238048,Isabella Aragão,8596,2014-11-16,Turismo,Ciências Sociais Aplicadas,2011-10-30,UFV - Universidade Federal de Viçosa
238049,Luna Santos,8596,2023-07-02,Engenharia Mecânica,Engenharias,2017-10-30,Colégio Pedro II - Colégio Pedro II
238050,Sra. Ana Luiza Fogaça,8596,2021-02-16,Nutrição,Ciências da Saúde,2019-11-07,FACAR - Faculdade de Aracaju
238051,Cecília da Luz,8596,2016-07-30,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2013-01-29,PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul
238052,Dr. Diego Cunha,8596,2019-11-01,Filosofia,Ciências Humanas,2013-05-30,UNIVILLE - Universidade da Região de Joinville
238053,Miguel Melo,8596,2014-08-25,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2014-08-13,FASBAM - Faculdade São Basílio Magno
238054,Amanda Melo,8596,2016-10-09,Engenharia Elétrica,Engenharias,2016-05-14,IFAP - Instituto Federal do Amapá
238055,Sabrina Cunha,8596,2017-12-31,Demografia,Ciências Sociais Aplicadas,2010-01-29,CUSC - Centro Universitário São Camilo
238056,Sr. Davi Luiz da Costa,8596,2022-07-26,Fisiologia,Ciências Biológicas,2015-06-02,FGV - Fundação Getulio Vargas
238057,João Miguel Rezende,8596,2017-11-24,Comunicação,Ciências Sociais Aplicadas,2016-09-10,UNOESC - Universidade do Oeste de Santa Catarina
238058,Alana Moura,8596,2019-06-07,Oceanografia,Ciências Exatas e da Terra,2012-04-27,FACITEC - Faculdade de Ciências Sociais e Tecnológicas
238059,Olivia Castro,8596,2018-11-02,Recursos Pesqueiros e Engenharia de Pesca,Ciências Agrárias,2013-01-29,UNIFIL - Centro Universitário Filadélfia
238060,Dr. Yuri Ribeiro,8596,2016-04-13,Ecologia,Ciências Biológicas,2014-05-27,UEMS - Universidade Estadual do Mato Grosso do Sul
